u_bar,Tm_rr,Tm_rl
0.17440216777053,55,55
0.174400211865889,55,55
0.174398256450164,55,55
0.174396301523231,55,55
0.174394347084969,55,55
0.174392393135256,55,55
0.174390439673969,55,55
0.174388486700986,55,55
0.174386534216185,55,55
0.174384582219445,55,55
0.22427902400087,55,55
0.225651096558201,55,55
0.225648865238026,55,55
0.225646634475611,55,55
0.225644404270817,55,55
0.225642174623504,55,55
0.225639945533534,55,55
0.225637717000766,55,55
0.225635489025062,55,55
0.225633261606283,55,55
0.225631034744288,55,55
0.225628808438939,55,55
0.225626582690097,55,55
0.225624357497623,55,55
0.225622132861377,55,55
0.225619908781221,55,55
0.225617685257016,55,55
0.225615462288622,55,55
0.2256132398759,55,55
0.225611018018712,55,55
0.277240463491163,55,55
0.278492870916141,55,55
0.278490401962678,55,55
0.278487933626376,55,55
0.278485465907082,55,55
0.27848299880464,55,55
0.278480532318896,55,55
0.278478066449697,55,55
0.278475601196888,55,55
0.278473136560316,55,55
0.278470672539825,55,55
0.278468209135263,55,55
0.278465746346474,55,55
0.278463284173306,55,55
0.278460822615605,55,55
0.278458361673215,55,55
0.278455901345985,55,55
0.278453441633759,55,55
0.278450982536385,55,55
0.278448524053708,55,55
0.331699936291863,55,55
0.332947282380315,55,55
0.332944580222511,55,55
0.332941878740162,55,55
0.3329391779331,55,55
0.332936477801154,55,55
0.332933778344158,55,55
0.332931079561941,55,55
0.332928381454336,55,55
0.332925684021173,55,55
0.332922987262284,55,55
0.332920291177501,55,55
0.332917595766654,55,55
0.332914901029577,55,55
0.332912206966099,55,55
0.332909513576052,55,55
0.33290682085927,55,55
0.332904128815582,55,55
0.332901437444821,55,55
0.332898746746819,55,55
0.388007471758414,55,55
0.389486324841522,55,55
0.389483335048264,55,55
0.389480346002361,55,55
0.389477357703626,55,55
0.389474370151873,55,55
0.389471383346914,55,55
0.389468397288563,55,55
0.389465411976633,55,55
0.389462427410938,55,55
0.389459443591291,55,55
0.389456460517506,55,55
0.389453478189396,55,55
0.389450496606775,55,55
0.389447515769456,55,55
0.389444535677254,55,55
0.389441556329981,55,55
0.389438577727452,55,55
0.389435599869481,55,55
0.389432622755881,55,55
0.446752630592351,55,55
0.448316053564966,55,55
0.448312759137459,55,55
0.448309465533456,55,55
0.448306172752751,55,55
0.448302880795138,55,55
0.448299589660412,55,55
0.448296299348366,55,55
0.448293009858796,55,55
0.448289721191495,55,55
0.448286433346259,55,55
0.448283146322881,55,55
0.448279860121156,55,55
0.448276574740879,55,55
0.448273290181844,55,55
0.448270006443847,55,55
0.448266723526681,55,55
0.448263441430142,55,55
0.448260160154025,55,55
0.448256879698124,55,55
0.507871545976107,55,55
0.509446974864478,55,55
0.509443377127956,55,55
0.509439780290757,55,55
0.509436184352654,55,55
0.509432589313424,55,55
0.50942899517284,55,55
0.50942540193068,55,55
0.509421809586718,55,55
0.50941821814073,55,55
0.509414627592491,55,55
0.509411037941777,55,55
0.509407449188364,55,55
0.509403861332026,55,55
0.509400274372541,55,55
0.509396688309683,55,55
0.509393103143229,55,55
0.509389518872955,55,55
0.509385935498636,55,55
0.509382353020049,55,55
0.571219924655119,55,55
0.572739153765973,55,55
0.572735270998552,55,55
0.572731389201702,55,55
0.57272750837518,55,55
0.572723628518743,55,55
0.572719749632149,55,55
0.572715871715155,55,55
0.572711994767519,55,55
0.572708118788999,55,55
0.572704243779353,55,55
0.572700369738338,55,55
0.572696496665712,55,55
0.572692624561234,55,55
0.57268875342466,55,55
0.57268488325575,55,55
0.572681014054261,55,55
0.572677145819951,55,55
0.572673278552579,55,55
0.572669412251903,55,55
0.636256961199664,55,55
0.637372793130607,55,55
0.637368729718208,55,55
0.637364667321536,55,55
0.637360605940336,55,55
0.637356545574354,55,55
0.637352486223337,55,55
0.637348427887031,55,55
0.637344370565182,55,55
0.637340314257536,55,55
0.637336258963841,55,55
0.637332204683843,55,55
0.637328151417288,55,55
0.637324099163923,55,55
0.637320047923494,55,55
0.637315997695749,55,55
0.637311948480435,55,55
0.637307900277298,55,55
0.637303853086085,55,55
0.637299806906543,55,55
0.701388941434338,55,55
0.701782622681224,55,55
0.701778560625262,55,55
0.701774499584688,55,55
0.701770439559246,55,55
0.701766380548684,55,55
0.701762322552748,55,55
0.701758265571184,55,55
0.701754209603739,55,55
0.701750154650158,55,55
0.70174610071019,55,55
0.70174204778358,55,55
0.701737995870074,55,55
0.701733944969421,55,55
0.701729895081366,55,55
0.701725846205657,55,55
0.70172179834204,55,55
0.701717751490262,55,55
0.701713705650071,55,55
0.701709660821214,55,55
0.764971202528589,55,55
0.765002824127669,55,55
0.764998852885753,55,55
0.764994882636524,55,55
0.764990913379733,55,55
0.764986945115132,55,55
0.764982977842474,55,55
0.764979011561509,55,55
0.764975046271991,55,55
0.764971081973672,55,55
0.764967118666303,55,55
0.764963156349637,55,55
0.764959195023426,55,55
0.764955234687424,55,55
0.764951275341381,55,55
0.764947316985052,55,55
0.764943359618187,55,55
0.764939403240541,55,55
0.764935447851866,55,55
0.764931493451914,55,55
0.828014261949226,55,55
0.828809896734824,55,55
0.828805824672513,55,55
0.82880175362809,55,55
0.828797683601301,55,55
0.828793614591892,55,55
0.828789546599607,55,55
0.828785479624194,55,55
0.828781413665397,55,55
0.828777348722963,55,55
0.828773284796638,55,55
0.828769221886167,55,55
